"ID","Артикул","Категория","Название товара","Картинка","Цена товара","Остаток на складе","Остаток на складе Ростов-на-Дону","Ссылка на товар","Описание","Модель товара/model/Артикул","Название производителя/Бренд","Страна производства","Вес товара","Габариты товара","Группа товара/group_id","Емкость бачка","Частота сети, Гц","Потребляемый ток, А","Потребляемая мощность ММА, А","Потребляемая мощность TIG, А","ПВ (40 градусов Цельсия), %","Напряжение холостого хода, В","Сварочный ток MMA, А","Сварочный ток MIG, А","Сварочный ток TIG AC, А","Сварочный ток TIG DC, А","Минимальный диаметр сварочной проволоки MIG, мм","Максимальный диаметр сварочной проволоки MIG, мм","Шум","Максимальный диаметр электрода MMA, мм","Максимальная масса катушки, кг","Скорость подачи проволоки, м/мин","Количество роликов, шт","КПД, %","Степень защиты","Доп. изображения","Расход воздуха","Давление подачи воздуха","Напряжение сети, В","Ширина линий","Страна изготовитель","Максимальный расход краски","Напряжение","Производительность, л/м","Сопло","Видео","Длина электрического кабеля","Количество пистолетов","Максимальная длина шланга","Максимальная скорость","Максимальное давление","Максимальное количество двоичных ходов в минуту","Максимальное сопло","Мотор","Распыление краски","Мощность","Назначение","Резьба на входе воздуха","Насосы подающие","Номинальная мощность","Объем подачи за двоичный ход","Передаточное соотношение","Подача воздуха от компрессора","Привод насоса","Применение","Размер","Расположение бачка","Насос","Вес в упаковке, кг","Давление","Вид насоса","Стеклошарики","Тип двигателя","Плавный пуск","Пропускная способность","Регулировка оборотов","Диаметр диска","Подключение к пылесосу","Min число оборотов","Амплитуда колебания","Тормоз подошвы","Число оборотов"
"13315","07041020","Запчасти для HYVST SPT 490","*07041020 фильтр в аппарат для установок SPT490/SPT690 (аналоги 637FB60)","https://specokraska.ru/upload/iblock/699/218avytxwa7xolfos0c04xfd2o9t6b73/af15783d-0bdf-11e4-940e-d4ae52a67367_8a7bd5ad-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","200","373","37","https://specokraska.ru/catalog/zapchasti_1/zapchasti-k-oborudovaniyu-hyvst/zapchasti-dlya-okrasochnykh-apparatov-hyvst/zapchasti-dlya-hyvst-spt-490/07041020-filtr-v-apparat-dlya-ustanovok-spt490-spt690-analogi-637fb60/","*07041020 фильтр в аппарат для установок SPT490/SPT690 (аналоги 637FB60)","07041020","SCHTAER,SCHTAER","","","","973","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/f2d/6x85ygyxgz7fb0h1q8s368i8ke61j20w/af15783d-0bdf-11e4-940e-d4ae52a67367_8a7bd5e1-bf7e-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14893","17000400D-3","Комплектующие для окрасочного оборудования","*17000400D-3 удочка 30 см,  7/8""","https://specokraska.ru/upload/iblock/6d1/2cvlcdkxlrx4pyjur5aqmodmcdvoiosr/a1a8e6e3-0bf7-11e4-940e-d4ae52a67367_a8be2cc4-c65c-11ee-ae41-b03af61ad78a.resize1.jpg","500","359","11","https://specokraska.ru/catalog/komplektuyushchie/17000400d-3-udochka-30-sm-7-8/","*17000400D-3 удочка 30 см,  7/8""","17000400D-3","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14895","17000400D-15","Комплектующие для окрасочного оборудования","*17000400D-15 удочка 150 см, 7/8""","https://specokraska.ru/upload/iblock/b14/vj0jj8wdouki2a37xr2i5p1hyaejwdx3/a1a8e6ee-0bf7-11e4-940e-d4ae52a67367_d8dc71e8-c65c-11ee-ae41-b03af61ad78a.resize1.jpg","1200","585","9","https://specokraska.ru/catalog/komplektuyushchie/17000400d-15-udochka-150-sm-7-8/","*17000400D-15 удочка 150 см, 7/8""","17000400D-15","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14896","7031000","Комплектующие для окрасочного оборудования","*7031000 соплодержатель 7/8"" (взаимозаменяем с 7031000-3)","https://specokraska.ru/upload/iblock/f21/5x6wlvm08tt02e7vmpx4fu301yrp5zcz/50cb4140-0c0b-11e4-940e-d4ae52a67367_9d162872-d03a-11f0-ae57-b03af61ad78a.resize1.jpg","500","444","24","https://specokraska.ru/catalog/komplektuyushchie/7031000-soploderzhatel-7-8-vzaimozamenyaem-s-7031000-3/","*7031000 соплодержатель 7/8"" (взаимозаменяем с 7031000-3)","7031000","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/6cd/61nwc4fzbzthqzex97gddxzt280e76sj/50cb4140-0c0b-11e4-940e-d4ae52a67367_287ef78e-1e9a-11f0-ae4e-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14908","17000400D-10 ","Комплектующие для окрасочного оборудования","*17000400D-10 удочка 100 см, 7/8""","https://specokraska.ru/upload/iblock/e58/y5j2tori092gkonncuojr86q0e1iji7j/fda94b14-0079-11ea-945d-d4ae52a67367_53863e2c-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","900","527","11","https://specokraska.ru/catalog/komplektuyushchie/17000400d-10-udochka-100-sm-7-8/","*17000400D-10 удочка 100 см, 7/8""","17000400D-10 ","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/857/lz9a6a1xntz3u148pb3ngfagrtm86zx0/fda94b14-0079-11ea-945d-d4ae52a67367_53863e60-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14909","17000400D-5","Комплектующие для окрасочного оборудования","*17000400D-5 Удочка 50 см 7/8""","https://specokraska.ru/upload/iblock/c8c/6v6aqhc2bx9cdb00yjhk271rc90942fx/966d083e-5190-11ea-9461-d4ae52a67367_154c9697-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","600","56","9","https://specokraska.ru/catalog/komplektuyushchie/17000400d-5-udochka-50-sm-7-8/","*17000400D-5 Удочка 50 см 7/8""","17000400D-5","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/c65/u1hbuks2cw6xsspl1f4retg4tc2wteud/966d083e-5190-11ea-9461-d4ae52a67367_154c96da-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14910","17000400D-7.5","Комплектующие для окрасочного оборудования","*17000400D-7.5 Удочка 75 см 7/8""","https://specokraska.ru/upload/iblock/c5d/nbnruvmyhjepqx0qaw7cul7p39szfq78/966d0840-5190-11ea-9461-d4ae52a67367_3417adcc-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","800","875","7","https://specokraska.ru/catalog/komplektuyushchie/17000400d-7-5-udochka-75-sm-7-8/","*17000400D-7.5 Удочка 75 см 7/8""","17000400D-7.5","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","https://specokraska.ru/upload/iblock/f41/yybeu3h284cs7jeqnx8uck41ibr93c0o/966d0840-5190-11ea-9461-d4ae52a67367_3417ae00-bf53-11ee-ae41-b03af61ad78a.resize1.jpg","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14913","243081-1","Комплектующие для окрасочного оборудования","Фильтр Schtaer 100М голубой 243081-1","https://specokraska.ru/upload/iblock/b87/gfooqi2ucu8rb1fo4502dfh1d5tg6u8c/297c68a9-ffe2-11e6-9439-d4ae52a67367_d844eb0d-d09d-11ee-ae41-b03af61ad78a.resize1.jpg","200","340","14","https://specokraska.ru/catalog/komplektuyushchie/243081-1-filtr-100-mesh-analog-637fb100/","Фильтр предназначен для финишной очистки краски. Он играет важную роль в поддержании качества нанесения краски на поверхность, предотвращая попадание пыли, крупных частиц и других загрязнений, которые могут испортить конечный результат.

Вы можете подобрать фильтр для окрасочного аппарата, исходя из типа наносимого материала и его вязкости. Так, фильтры с крупной сеткой (модификация 30) используются для нанесения высоковязких материалов (краски по металлу, водные и водоэмульсионные краски, латексные краски, антикоррозионные краски, грунтовки по металлу, масленые краски, огнезащитные материалы, теплоизоляционные краски, эмали). Фильтры со средней сеткой (60 и 100) используются для нанесения материалов средней вязкости: краски по металлу, водные краски, водоэмульсионные краски, латексные краски, масленые краски и другие. 


Преимущества:

•    обеспечивает качественное и равномерное покрытие;
•    защищает оборудование от попадание посторонних частиц;
•    помогает поддерживать чистоту рабочего помещения.
","243081-1","SCHTAER,SCHTAER","КИТАЙ","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14916","7031000-2","Комплектующие для окрасочного оборудования","*7031000-2 соплодержатель 7/8"" 500 bar (XHD)","https://specokraska.ru/upload/iblock/f0f/epj009orbeqqm0drdcwzx9ktuv55d2i7/9857cb04-cb3a-11e6-9437-d4ae52a67367_c2c7aefc-d03a-11f0-ae57-b03af61ad78a.resize1.jpg","1320","861","26","https://specokraska.ru/catalog/komplektuyushchie/7031000-2-soploderzhatel-7-8-500-bar-xhd/","*7031000-2 соплодержатель 7/8"" 500 bar (XHD)","7031000-2","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"14920","17000400D-2","Комплектующие для окрасочного оборудования","*17000400D-2 удочка 20 см,  7/8""","https://specokraska.ru/upload/iblock/232/28zqrojstzysd227eerudon1jn1tkxol/968dbdf8-f948-11eb-ae25-b03af61ad78a_e776d81a-2279-11ef-ae44-b03af61ad78a.resize1.jpg","400","145","7","https://specokraska.ru/catalog/komplektuyushchie/17000400d-2-udochka-20-sm-7-8/","*17000400D-2 удочка 20 см,  7/8""","17000400D-2","SCHTAER,SCHTAER","","","","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
