Название,Родительская категория>Подкатегория>Подподкатегория,Артикул,ЦенаRUB,
"Разделительная мембрана для плитки с теплым полом DLT, рулон 1*5 м (5 м²), арт.3599",Инструмент для укладки плитки>Разделительные гидроизоляционные мембраны,3599,0.00,"https://dlt.by/image/catalog/easyphoto/4321/razdelitelnaya-membrana-dlya-plitki-dlt-rulon-1-10-m-10-m-art-3571-1.png,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Плиткорез DLT PROLINE, рез до 600мм, арт.2652",Инструмент для укладки плитки>Ручные плиткорезы>Плиткорезы DLT,2652,12 188.16,"https://dlt.by/image/catalog/easyphoto/4125/plitkorez-dlt-proline-rez-do-600mm-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Плиткорез DLT PROLINE, рез до 800мм, арт.0598",Плиткорезы ручные>Плиткорезы DLT,0598,13 542.40,"https://dlt.by/image/catalog/easyphoto/4126/plitkorez-dlt-proline-rez-do-800mm-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Плиткорез электрический SHIJING, арт.9320",Плиткорезы электрические (камнерезы/мокрорезы)>Плиткорезы SHIJING,9320,6 921.67,"https://dlt.by/image/catalog/easyphoto/4128/plitkorez-elektricheskiy-shijing-art-9320-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Сумка BIHUI, арт.BPG06",Ящики для инструмента/Модульные системы,BPG06,3 731.68,"https://dlt.by/image/catalog/easyphoto/4352/sumka-bihui-art-bpg06-3.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Пылесос строительный DLT PL PRO MAX с авто очисткой, арт. 3234",Пылесосы строительные>Пылесосы,3234,23 323.03,"https://dlt.by/image/catalog/easyphoto/4225/pylesos-stroitelnyy-dlt-pl-pro-max-s-avto-ochistkoy-18.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Стойка рекламная Rollingdog, арт. DP-05",Стеллажи для инструментов,DP-05,30 395.17,"https://dlt.by/image/catalog/easyphoto/4140/stoyka-reklamnaya-rollingdog-art-dp-05-1.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Прижим DLT для выравнивания плитки на электрические плиткорезы с резом 1000-1200мм NEW, арт.2259",Плиткорезы электрические (камнерезы/мокрорезы)>Плиткорезы DLT,2259,5 567.43,"https://dlt.by/image/catalog/easyphoto/4146/prizhim-dlt-dlya-vyravnivaniya-plitki-na-elektricheskie-plitkorezy-s-rezom-1000-1200mm-new-4.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Запасная кнопка с регулировкой дрели алмазного сверления (бурения) KEN 6110B, арт.3534",Запчасти>Установки алмазного сверления,3534,631.98,"https://dlt.by/image/catalog/easyphoto/4314/zapasnaya-knopka-s-regulirovkoy-dreli-almaznogo-sverleniya-bureniya-ken-6110b-art-3534-2.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
"Виброприсоска для укладки плитки DLT Vibro MAX версия PRO, арт.9395",Инструмент для укладки плитки>Вибрационные присоски,9395,9 780.62,"https://dlt.by/image/catalog/easyphoto/4147/vibroprisoska-dlya-ukladki-plitki-dlt-vibro-max-versiya-pro-5.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"
